subject,gender,trialID,trial_type,shortcut
508,m,2,B,0
508,m,3,B,0
508,m,4,B,0
508,m,5,B,1
508,m,6,B,0
508,m,7,B,0
508,m,14,A,0
508,m,15,A,0
508,m,16,A,1
508,m,17,A,1
508,m,18,A,0
508,m,19,A,1
508,m,20,A,0
508,m,21,A,0
508,m,22,A,0
508,m,23,A,0
508,m,24,A,0
508,m,25,A,0
510,m,2,B,0
510,m,3,B,0
510,m,4,B,0
510,m,5,B,0
510,m,6,B,0
510,m,7,B,0
510,m,14,A,0
510,m,15,A,1
510,m,16,A,1
510,m,17,A,1
510,m,18,A,0
510,m,19,A,1
510,m,20,A,0
510,m,21,A,0
510,m,22,A,1
510,m,23,A,1
510,m,24,A,0
510,m,25,A,1
511,m,2,B,0
511,m,3,B,0
511,m,4,B,0
511,m,5,B,0
511,m,6,B,1
511,m,7,B,1
511,m,14,A,0
511,m,15,A,0
511,m,16,A,1
511,m,17,A,0
511,m,18,A,0
511,m,19,A,0
511,m,20,A,1
511,m,21,A,0
511,m,22,A,1
511,m,23,A,1
511,m,24,A,1
511,m,25,A,0
512,m,8,B,0
512,m,9,B,1
512,m,10,B,0
512,m,11,B,0
512,m,13,B,1
512,m,14,A,1
512,m,15,A,0
512,m,16,A,1
512,m,17,A,1
512,m,18,A,1
512,m,19,A,1
512,m,20,A,1
512,m,21,A,1
512,m,22,A,1
512,m,23,A,1
512,m,24,A,1
512,m,25,A,1
513,m,2,B,1
513,m,3,B,0
513,m,4,B,0
513,m,5,B,1
513,m,6,B,0
513,m,7,B,1
513,m,14,A,0
513,m,15,A,1
513,m,16,A,1
513,m,17,A,1
513,m,18,A,0
513,m,19,A,1
513,m,20,A,1
513,m,21,A,0
513,m,22,A,0
513,m,23,A,1
513,m,24,A,0
513,m,25,A,0
514,m,8,B,0
514,m,9,B,0
514,m,10,B,1
514,m,11,B,1
514,m,12,B,1
514,m,13,B,0
514,m,14,A,0
514,m,15,A,0
514,m,16,A,1
514,m,17,A,1
514,m,18,A,1
514,m,19,A,1
514,m,20,A,1
514,m,21,A,1
514,m,23,A,1
514,m,24,A,1
514,m,25,A,1
515,m,8,B,0
515,m,9,B,0
515,m,10,B,1
515,m,11,B,1
515,m,12,B,0
515,m,13,B,1
515,m,14,A,1
515,m,15,A,0
515,m,16,A,1
515,m,17,A,1
515,m,18,A,1
515,m,19,A,1
515,m,20,A,1
515,m,21,A,1
515,m,22,A,1
515,m,23,A,1
