start,goal,stress_level,subject,trialID,timeInTrial,trialNumber,selected,blockedWall,isStressTrial,success,isBlockedTrial,isStressFirst,isFemale,speed,nodeDistance,trialType,nodePath,blockedNodePath,shortestPathLength,Efficiency,type
A1,F6,4,508,2,18.54651,2,F6,,True,1,False,True,False,0.7009405003960313,13.0,B,"['A1', 'A2', 'A3', 'A4', 'B4', 'C4', 'C5', 'C6', 'C7', 'D7', 'E7', 'E6', 'F6']",,11,0.1818181818181818,stress non-blocked
D1,F6,2,508,4,10.75085,3,F6,,True,1,False,True,False,1.1161908128194515,12.0,B,"['D1', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'D7', 'E7', 'E6', 'F6']",,8,0.5,stress non-blocked
B2,C6,2,508,5,8.485229,4,C6,,True,1,False,True,False,0.707111145733368,6.0,B,"['B2', 'C2', 'C3', 'C4', 'C5', 'C6']",,6,0.0,stress non-blocked
G2,C7,6,508,9,20.00208,5,No,F1North,True,0,True,True,False,0.849911609192644,17.0,C,"['G2', 'G1', 'F1', 'G1', 'G2', 'G3', 'F3', 'E3', 'E2', 'E1', 'D1', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6']","['F1', 'G1', 'G2', 'G3', 'F3', 'E3', 'E2', 'E1', 'D1', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6']",12,1.026188973063973,stress blocked
F6,A6,6,508,13,20.0011,6,No,E5West,True,0,True,True,False,0.9999450030248336,20.0,C,"['F6', 'E6', 'E5', 'E6', 'F6', 'G6', 'G5', 'G4', 'G3', 'G2', 'G1', 'F1', 'E1', 'D1', 'C1', 'C2', 'B2', 'A2', 'A3', 'A4']","['E5', 'E6', 'F6', 'G6', 'G5', 'G4', 'G3', 'G2', 'G1', 'F1', 'E1', 'D1', 'C1', 'C2', 'B2', 'A2', 'A3', 'A4']",8,1.026188973063973,stress blocked
D4,G2,4,508,6,17.66943,7,G2,,True,1,False,True,False,0.7923288979893524,14.0,B,"['D4', 'C4', 'C5', 'C6', 'C7', 'D7', 'E7', 'E6', 'F6', 'G6', 'G5', 'G4', 'G3', 'G2']",,6,1.3333333333333333,stress non-blocked
C7,B2,5,508,11,20.01025,8,No,D7South,True,0,True,True,False,0.7995902100173661,16.0,C,"['C7', 'D7', 'C7', 'B7', 'A7', 'A6', 'A5', 'A4', 'B4', 'C4', 'C3', 'C2', 'C1', 'D1', 'E1', 'F1']","['D7', 'C7', 'B7', 'A7', 'A6', 'A5', 'A4', 'B4', 'C4', 'C3', 'C2', 'C1', 'D1', 'E1', 'F1']",8,1.026188973063973,stress blocked
A1,D4,4,508,12,11.87183,9,D4,B2South,True,1,True,True,False,0.7580971088703259,9.0,C,"['A1', 'A2', 'B2', 'A2', 'A3', 'A4', 'B4', 'C4', 'D4']","['B2', 'A2', 'A3', 'A4', 'B4', 'C4', 'D4']",7,0.0,stress blocked
G5,C7,4,508,7,13.77197,10,C7,,True,1,False,True,False,0.7987237846146921,11.0,B,"['G5', 'G4', 'G3', 'F3', 'E3', 'E4', 'D4', 'C4', 'C5', 'C6', 'C7']",,7,0.5714285714285714,stress non-blocked
A6,G2,4,508,8,17.9696,11,G2,A3West,True,1,True,True,False,0.8347431217166771,15.0,C,"['A6', 'A5', 'A4', 'A3', 'A4', 'B4', 'C4', 'C3', 'C2', 'C1', 'D1', 'E1', 'F1', 'G1', 'G2']","['A3', 'A4', 'B4', 'C4', 'C3', 'C2', 'C1', 'D1', 'E1', 'F1', 'G1', 'G2']",10,0.2,stress blocked
E6,A1,4,508,3,16.91345,12,A1,,True,1,False,True,False,0.945992686294044,16.0,B,"['E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'F1', 'G1', 'F1', 'E1', 'D1', 'C1', 'C2', 'B2', 'A2', 'A1']",,10,0.6,stress non-blocked
F1,C7,2,508,16,11.39343,14,C7,,False,1,False,True,False,0.8776988141411322,10.0,A,"['F1', 'E1', 'D1', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7']",,10,0.0,control
C6,A1,2,508,18,11.90588,15,A1,,False,1,False,True,False,0.8399211146089159,10.0,A,"['C6', 'C7', 'B7', 'A7', 'A6', 'A5', 'A4', 'A3', 'A2', 'A1']",,8,0.25,control
E6,D1,2,508,20,19.6134,16,D1,,False,1,False,True,False,0.968725463203728,19.0,A,"['E6', 'F6', 'G6', 'F6', 'E6', 'E7', 'D7', 'E7', 'E6', 'F6', 'G6', 'G5', 'G4', 'G3', 'G2', 'G1', 'F1', 'E1', 'D1']",,7,1.7142857142857142,control
